rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
snRNA,27,0.1819066147859922,0.3323665555226273,0.35935100794017844,0.06336565927504931,0.4856016443478978,0.42223598507284854,0.028013805006379174,AlcoR,property_fraction__aromatic_sticker_region,protein,0.04138826598302743
snoRNA,14,0.22980717803065234,0.2294401550472642,0.26463272309260377,0.02921150963996772,0.28313494961296914,0.25392343997300143,0.028013805006379174,AlcoR,property_fraction__aromatic_sticker_region,protein,0.04138826598302743
tRNA,60,0.24376075638230077,0.3368883841303846,0.30819265920488764,0.0550904452690167,0.5210346185298482,0.46594417326083154,0.028013805006379174,AlcoR,property_fraction__aromatic_sticker_region,protein,0.04138826598302743
unknown,188,0.26658442982456143,0.35424488526552034,0.30652944512239866,0.09020548506426154,0.5373762237861524,0.44717073872189084,0.028013805006379174,AlcoR,property_fraction__aromatic_sticker_region,protein,0.04138826598302743
diverse,5,0.2140468227424749,0.3514138044908627,0.3739236170638437,0.14123006833712984,0.32388663967611336,0.18265657133898353,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
mRNA,74,0.14760584131386228,0.19783237763916978,0.17581396519658135,0.06150911379847297,0.2603178368121442,0.19880872301367125,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
ncRNA,18,0.1232693528395294,0.2911989980859675,0.33583537743937475,0.06602871154675255,0.3443153553635285,0.2782866438167759,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
pre-rRNA,12,0.3136904761904762,0.3705222400094354,0.31516603192908216,0.13505799755799758,0.5098519499277805,0.3747939523697829,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
ribosomal protein,5,1.0,0.6903030303030303,0.42907635654144755,0.3181818181818182,1.0,0.6818181818181819,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
snRNA,7,0.1881287726358149,0.3312438105298244,0.3618262920111721,0.0650410717212522,0.4688445422107115,0.4038034704894593,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
snoRNA,4,0.23997017978107707,0.3605314432546885,0.3626891265735322,0.1752875040390095,0.4252141189967561,0.2499266149577466,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
tRNA,15,0.15699658703071673,0.28399813701496596,0.2887216266952388,0.10858585858585859,0.39292932733796615,0.2843434687521076,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
unknown,73,0.1388888888888889,0.22324165154650039,0.22834687420020255,0.07861936720997123,0.2830188679245283,0.20439950071455706,0.13538813058357807,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.16946745081725403
diverse,2,0.061341094561433544,0.061341094561433544,0.06086210875174333,0.039823089653598126,0.08285909946926896,0.043036009815670836,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
mRNA,65,0.03513513513513514,0.052164706946022675,0.05601608579209254,0.022641509433962263,0.056790123456790124,0.03414861402282786,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
ncRNA,11,0.04132231404958678,0.05278968184827872,0.0480176096141104,0.024777909180682976,0.06394009216589862,0.03916218298521564,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
