rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
tRNA,245,0.623342175066313,0.6208114975596429,0.10464057207458188,0.5581395348837209,0.6818181818181818,0.12367864693446085,3.7231126236149784e-11,AlcoR,lcr,frac_hydrophobic,2.2338675741689872e-10
unknown,885,0.5939086294416244,0.5853359242282203,0.11885709021940583,0.5319148936170213,0.6474358974358975,0.1155210038188762,3.7231126236149784e-11,AlcoR,lcr,frac_hydrophobic,2.2338675741689872e-10
diverse,60,0.3060200668896321,0.2936309121216155,0.09949894697505758,0.24027514231499048,0.34381249999999997,0.10353735768500949,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
mRNA,1040,0.2857142857142857,0.28290079887267733,0.10815185393672895,0.2201675320858235,0.3494047619047619,0.1292372298189384,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
ncRNA,196,0.31320792880258896,0.3163901859560662,0.11916616339856764,0.25,0.3700657894736842,0.12006578947368418,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
pre-rRNA,133,0.2941176470588235,0.28819264146952295,0.1261505911354662,0.2,0.359002169197397,0.15900216919739701,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
ribosomal protein,98,0.3134892511221356,0.3200638704851134,0.12667443681578877,0.2681818181818182,0.3605769230769231,0.09239510489510488,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
snRNA,87,0.3220779220779221,0.3086203698679897,0.10293135985473935,0.24871134020618554,0.375,0.12628865979381446,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
snoRNA,60,0.28541033434650454,0.27143777654921386,0.10382004191132825,0.2,0.33911169415292347,0.13911169415292346,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
tRNA,245,0.3157894736842105,0.30503603465144136,0.09692309505617563,0.25,0.3568773234200743,0.10687732342007428,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
unknown,885,0.28125,0.2796343598298368,0.10925785221201474,0.2173913043478261,0.336864406779661,0.1194731024318349,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.3110388215216597e-06
