rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,377,5,0.05,5,0 (24.9%); 1 (29.2%); 2 (23.3%); 3 (9.3%); 4 (13.3%),1,110,0.2917771883289125
tRNA,85,5,0.05,5,0 (30.6%); 1 (27.1%); 2 (18.8%); 3 (8.2%); 4 (15.3%),0,26,0.3058823529411765
pre-rRNA,53,5,0.05,5,0 (22.6%); 1 (17.0%); 2 (30.2%); 3 (9.4%); 4 (20.8%),2,16,0.3018867924528302
snRNA,41,5,0.05,4,0 (22.0%); 1 (36.6%); 2 (29.3%); 4 (12.2%),1,15,0.36585365853658536
snoRNA,20,5,0.05,5,0 (30.0%); 1 (30.0%); 2 (10.0%); 3 (15.0%); 4 (15.0%),0,6,0.3
ncRNA,64,5,0.05,5,0 (15.6%); 1 (40.6%); 2 (15.6%); 3 (12.5%); 4 (15.6%),1,26,0.40625
ribosomal protein,52,5,0.05,5,0 (34.6%); 1 (13.5%); 2 (36.5%); 3 (7.7%); 4 (7.7%),2,19,0.36538461538461536
diverse,22,5,0.05,5,0 (27.3%); 1 (27.3%); 2 (27.3%); 3 (9.1%); 4 (9.1%),0,6,0.2727272727272727
unknown,254,5,0.05,5,0 (21.3%); 1 (26.4%); 2 (33.1%); 3 (7.9%); 4 (11.4%),2,84,0.33070866141732286
