rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,743,4,0.05,4,0 (34.5%); 1 (34.2%); 2 (19.0%); 3 (12.4%),0,256,0.3445491251682369
tRNA,178,4,0.05,2,0 (71.3%); 1 (24.2%),0,127,0.7134831460674157
pre-rRNA,119,4,0.05,3,0 (31.1%); 1 (42.0%); 2 (23.5%),1,50,0.42016806722689076
snRNA,102,4,0.05,4,0 (41.2%); 1 (31.4%); 2 (13.7%); 3 (13.7%),0,42,0.4117647058823529
snoRNA,41,4,0.05,4,0 (29.3%); 1 (36.6%); 2 (22.0%); 3 (12.2%),1,15,0.36585365853658536
ncRNA,122,4,0.05,4,0 (43.4%); 1 (32.0%); 2 (14.8%); 3 (9.8%),0,53,0.4344262295081967
ribosomal protein,166,4,0.05,2,0 (72.3%); 1 (26.5%),0,120,0.7228915662650602
diverse,47,4,0.05,4,0 (68.1%); 1 (14.9%); 2 (10.6%); 3 (6.4%),0,32,0.6808510638297872
unknown,406,4,0.05,4,0 (46.8%); 1 (24.6%); 2 (14.3%); 3 (14.3%),0,190,0.46798029556650245
