n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
,tRNA,28.0,16.947314049586776,0.7243701859264166,0.3294117647058823,position_presence,0.0015213074147824,present,domain_intrinsic,AlcoR,0.0065923321307237
,unknown,31.0,50.64256198347108,-0.7080821763787767,0.1220472440944882,position_presence,0.0015213074147824,present,domain_intrinsic,AlcoR,0.0065923321307237
,diverse,6.0,7.886363636363637,-0.3943977332198074,0.2727272727272727,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,mRNA,128.0,135.14359504132233,-0.0783493285723308,0.3395225464190981,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,ncRNA,20.0,22.94214876033058,-0.1980005204163041,0.3125,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,pre-rRNA,18.0,18.99896694214876,-0.0779240684245533,0.3396226415094339,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,ribosomal protein,6.0,18.6404958677686,-1.6354058327236023,0.1153846153846153,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,snRNA,6.0,14.697314049586776,-1.2925181192005937,0.1463414634146341,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,snoRNA,8.0,7.169421487603306,0.1581432898089713,0.4,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,tRNA,31.0,30.47004132231405,0.0248767589455069,0.3647058823529411,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,unknown,124.0,91.051652892562,0.4455830083110428,0.4881889763779528,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,diverse,3.0,3.772727272727273,-0.3306453119884713,0.1363636363636363,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,mRNA,66.0,64.65082644628099,0.029797212017459,0.1750663129973474,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,ncRNA,21.0,10.975206611570249,0.93614122870643,0.328125,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,pre-rRNA,6.0,9.088842975206612,-0.5991341479143732,0.1132075471698113,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,ribosomal protein,1.0,8.917355371900827,-3.1566159122134225,0.0192307692307692,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,snRNA,8.0,7.030991735537191,0.186271801309586,0.1951219512195122,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,snoRNA,3.0,3.4297520661157024,-0.1931417882385364,0.15,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,tRNA,14.0,14.576446280991735,-0.0582122081524278,0.1647058823529411,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,unknown,44.0,43.55785123966942,0.0145707377928013,0.1732283464566929,position_presence,0.006421475189879,present,unclassified_no_pfam,AlcoR,0.0166958354936854
,diverse,3.0,4.454545454545454,-0.5703157247567546,0.1363636363636363,position_presence,0.2230335818355799,present,domain_adjacent,AlcoR,0.3052038488276357
,mRNA,76.0,76.33471074380165,-0.0063398066656924,0.2015915119363395,position_presence,0.2230335818355799,present,domain_adjacent,AlcoR,0.3052038488276357
,ncRNA,11.0,12.958677685950413,-0.2364149882033163,0.171875,position_presence,0.2230335818355799,present,domain_adjacent,AlcoR,0.3052038488276357
,pre-rRNA,10.0,10.731404958677686,-0.1018389665164504,0.1886792452830188,position_presence,0.2230335818355799,present,domain_adjacent,AlcoR,0.3052038488276357
,ribosomal protein,15.0,10.52892561983471,0.5106042706268126,0.2884615384615384,position_presence,0.2230335818355799,present,domain_adjacent,AlcoR,0.3052038488276357
,snRNA,3.0,8.301652892561984,-1.4684361107375414,0.073170731707317,position_presence,0.2230335818355799,present,domain_adjacent,AlcoR,0.3052038488276357
