rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
tRNA,245,0.623342175066313,0.6208114975596429,0.1046405720745818,0.5581395348837209,0.6818181818181818,0.1236786469344608,3.723112623614978e-11,AlcoR,lcr,frac_hydrophobic,2.2338675741689872e-10
unknown,885,0.5939086294416244,0.5853359242282203,0.1188570902194058,0.5319148936170213,0.6474358974358975,0.1155210038188762,3.723112623614978e-11,AlcoR,lcr,frac_hydrophobic,2.2338675741689872e-10
diverse,60,0.3060200668896321,0.2936309121216155,0.0994989469750575,0.2402751423149904,0.3438124999999999,0.1035373576850094,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
mRNA,1040,0.2857142857142857,0.2829007988726773,0.1081518539367289,0.2201675320858235,0.3494047619047619,0.1292372298189384,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
ncRNA,196,0.3132079288025889,0.3163901859560662,0.1191661633985676,0.25,0.3700657894736842,0.1200657894736841,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
pre-rRNA,133,0.2941176470588235,0.2881926414695229,0.1261505911354662,0.2,0.359002169197397,0.159002169197397,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
ribosomal protein,98,0.3134892511221356,0.3200638704851134,0.1266744368157887,0.2681818181818182,0.3605769230769231,0.0923951048951048,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
snRNA,87,0.3220779220779221,0.3086203698679897,0.1029313598547393,0.2487113402061855,0.375,0.1262886597938144,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
snoRNA,60,0.2854103343465045,0.2714377765492138,0.1038200419113282,0.2,0.3391116941529234,0.1391116941529234,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
tRNA,245,0.3157894736842105,0.3050360346514413,0.0969230950561756,0.25,0.3568773234200743,0.1068773234200742,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
unknown,885,0.28125,0.2796343598298368,0.1092578522120147,0.2173913043478261,0.336864406779661,0.1194731024318349,7.703462738405531e-07,AlcoR,lcr,frac_strong_hydro,2.31103882152166e-06
diverse,60,0.1088343756372782,0.0977213115729522,0.0644491008314304,0.05,0.1301075268817204,0.0801075268817203,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
mRNA,1040,0.0909090909090909,0.0989459314937546,0.0706405596758721,0.0555555555555555,0.1333333333333333,0.0777777777777777,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
ncRNA,196,0.093466107617051,0.1052015795527999,0.072896231342506,0.0625,0.1428571428571428,0.0803571428571428,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
pre-rRNA,133,0.0666666666666666,0.0771087938653729,0.0655047606240922,0.0357142857142857,0.1075697211155379,0.0718554354012522,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
ribosomal protein,98,0.0902257679366113,0.0980518644715501,0.068911943590238,0.0625,0.1363636363636364,0.0738636363636364,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
snRNA,87,0.1,0.1061757705413186,0.0677208932227934,0.0645833333333333,0.1448412698412698,0.0802579365079364,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
