rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
snRNA,27,0.1819066147859922,0.3323665555226273,0.3593510079401784,0.0633656592750493,0.4856016443478978,0.4222359850728485,0.0280138050063791,AlcoR,property_fraction__aromatic_sticker_region,protein,0.0413882659830274
snoRNA,14,0.2298071780306523,0.2294401550472642,0.2646327230926037,0.0292115096399677,0.2831349496129691,0.2539234399730014,0.0280138050063791,AlcoR,property_fraction__aromatic_sticker_region,protein,0.0413882659830274
tRNA,60,0.2437607563823007,0.3368883841303846,0.3081926592048876,0.0550904452690167,0.5210346185298482,0.4659441732608315,0.0280138050063791,AlcoR,property_fraction__aromatic_sticker_region,protein,0.0413882659830274
unknown,188,0.2665844298245614,0.3542448852655203,0.3065294451223986,0.0902054850642615,0.5373762237861524,0.4471707387218908,0.0280138050063791,AlcoR,property_fraction__aromatic_sticker_region,protein,0.0413882659830274
diverse,5,0.2140468227424749,0.3514138044908627,0.3739236170638437,0.1412300683371298,0.3238866396761133,0.1826565713389835,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
mRNA,74,0.1476058413138622,0.1978323776391697,0.1758139651965813,0.0615091137984729,0.2603178368121442,0.1988087230136712,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
ncRNA,18,0.1232693528395294,0.2911989980859675,0.3358353774393747,0.0660287115467525,0.3443153553635285,0.2782866438167759,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
pre-rRNA,12,0.3136904761904762,0.3705222400094354,0.3151660319290821,0.1350579975579975,0.5098519499277805,0.3747939523697829,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
ribosomal protein,5,1.0,0.6903030303030303,0.4290763565414475,0.3181818181818182,1.0,0.6818181818181819,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
snRNA,7,0.1881287726358149,0.3312438105298244,0.3618262920111721,0.0650410717212522,0.4688445422107115,0.4038034704894593,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
snoRNA,4,0.239970179781077,0.3605314432546885,0.3626891265735322,0.1752875040390095,0.4252141189967561,0.2499266149577466,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
tRNA,15,0.1569965870307167,0.2839981370149659,0.2887216266952388,0.1085858585858585,0.3929293273379661,0.2843434687521076,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
unknown,73,0.1388888888888889,0.2232416515465003,0.2283468742002025,0.0786193672099712,0.2830188679245283,0.204399500714557,0.135388130583578,AlcoR,property_fraction__cation_pi_rich_neighborhood,protein,0.169467450817254
diverse,2,0.0613410945614335,0.0613410945614335,0.0608621087517433,0.0398230896535981,0.0828590994692689,0.0430360098156708,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
mRNA,65,0.0351351351351351,0.0521647069460226,0.0560160857920925,0.0226415094339622,0.0567901234567901,0.0341486140228278,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
