method,n_lcr,n_proteins,length_match,median_coverage,pct_multi_lcr,mean_n_lcr,median_lcr_length,n_class_signature_peaks
AlcoR,2804,968,100.0%,0.2946842987170779,61.1%,2.896694214876033,25.0,9
CAST,1880,1055,100.0%,0.2943548387096774,44.6%,1.7819905213270142,76.0,9
FLPS,8099,1697,100.0%,0.1658354114713217,80.8%,4.772539776075427,17.0,9
LCRFinder,6371,1008,100.0%,0.0469705818158222,86.2%,6.320436507936508,6.0,9
SEG_intermediate,1307,622,100.0%,0.07479887657672354,48.2%,2.1012861736334405,26.0,9
SEG,493,296,100.0%,0.043534135379834596,35.5%,1.6655405405405406,21.0,9
