method,rna_primary_class,n_input,status,min_cluster_size,n_clusters,noise_fraction
CAST,diverse,30,clustered,5,2,0.2667
CAST,mRNA,1210,clustered,5,2,0.0008
CAST,ncRNA,156,clustered,5,2,0.0769
CAST,pre-rRNA,159,clustered,5,3,0.1006
CAST,ribosomal protein,50,clustered,5,3,0.32
CAST,snRNA,151,clustered,5,8,0.2715
CAST,snoRNA,62,clustered,5,2,0.0484
CAST,tRNA,68,clustered,5,2,0.2353
CAST,unknown,603,clustered,5,3,0.0066
