rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,743,4,0.05,4,0 (55.6%); 1 (21.3%); 2 (12.9%); 3 (10.2%),0,413,0.5558546433378196
tRNA,178,4,0.05,2,0 (90.4%); 1 (7.9%),0,161,0.9044943820224719
pre-rRNA,119,4,0.05,3,0 (67.2%); 1 (21.0%); 3 (10.1%),0,80,0.6722689075630253
snRNA,102,4,0.05,4,0 (61.8%); 1 (20.6%); 2 (7.8%); 3 (9.8%),0,63,0.6176470588235294
snoRNA,41,4,0.05,4,0 (56.1%); 1 (24.4%); 2 (7.3%); 3 (12.2%),0,23,0.5609756097560976
ncRNA,122,4,0.05,3,0 (70.5%); 1 (19.7%); 2 (6.6%),0,86,0.7049180327868853
ribosomal protein,166,4,0.05,2,0 (90.4%); 1 (8.4%),0,150,0.9036144578313253
diverse,47,4,0.05,3,0 (80.9%); 1 (8.5%); 2 (6.4%),0,38,0.8085106382978723
unknown,406,4,0.05,4,0 (70.9%); 1 (12.8%); 2 (8.6%); 3 (7.6%),0,288,0.7093596059113301
