rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
snRNA,77,0.4534883720930232,0.4454599217797592,0.22158728894237725,0.2666666666666667,0.5882352941176471,0.32156862745098036,7.113564079724137e-11,SEG_intermediate,lcr,frac_hydrophobic,1.7072553791337929e-10
snoRNA,38,0.290994623655914,0.36867997153026055,0.28399192841273635,0.09022257551669316,0.6638026607538803,0.5735800852371871,7.113564079724137e-11,SEG_intermediate,lcr,frac_hydrophobic,1.7072553791337929e-10
tRNA,23,0.5,0.5189680656678124,0.20034485418015327,0.395748987854251,0.6491228070175439,0.2533738191632929,7.113564079724137e-11,SEG_intermediate,lcr,frac_hydrophobic,1.7072553791337929e-10
unknown,278,0.4246212121212122,0.44240787515945745,0.2471828104135968,0.2425,0.609577922077922,0.36707792207792206,7.113564079724137e-11,SEG_intermediate,lcr,frac_hydrophobic,1.7072553791337929e-10
diverse,19,0.12,0.18796314383034116,0.20150017104272006,0.05772357723577236,0.27884615384615385,0.22112257661038148,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
mRNA,719,0.07692307692307693,0.09925176207778393,0.08864252307820387,0.034190531852717705,0.1538461538461539,0.11965562199343621,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
ncRNA,69,0.08,0.10327763094774285,0.11410994615902559,0.02941176470588235,0.1612903225806452,0.13187855787476285,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
pre-rRNA,66,0.04761904761904762,0.061915160439973804,0.07550030702754544,0.0,0.09090909090909091,0.09090909090909091,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
ribosomal protein,18,0.08012820512820512,0.10300129510607604,0.1259533348305641,0.0,0.1379310344827586,0.1379310344827586,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
snRNA,77,0.08333333333333333,0.1152678686464389,0.10646653202570164,0.02272727272727273,0.1764705882352941,0.15374331550802137,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
snoRNA,38,0.061553030303030304,0.07891102075708621,0.07590000684626802,0.02808277027027027,0.10639880952380949,0.07831603925353922,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
tRNA,23,0.1067961165048544,0.1159272185061146,0.11337721528012536,0.04554655870445344,0.12861869313482216,0.08307213443036872,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
unknown,278,0.08576306803257158,0.11173333727512107,0.1320675628058714,0.03479064039408866,0.14787581699346403,0.11308517659937536,0.005168183349134468,SEG_intermediate,lcr,frac_strong_hydro,0.005638018199055783
