position,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,has_pfam,signature,method,p_fdr
distal_terminal,diverse,12,10.016067329762816,0.2607182403687126,0.631578947368421,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
distal_terminal,mRNA,351,379.0290742157613,-0.1108374870435953,0.48817802503477054,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
distal_terminal,ncRNA,32,36.37413925019128,-0.1848412036870272,0.463768115942029,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
distal_terminal,pre-rRNA,37,34.79265493496557,0.08874249936163837,0.5606060606060606,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
distal_terminal,ribosomal protein,1,9.488905891354246,-3.2462417483511703,0.05555555555555555,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
distal_terminal,snRNA,25,40.59143075745983,-0.6992470978290348,0.3246753246753247,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
distal_terminal,snoRNA,25,20.03213465952563,0.31961192942228117,0.6578947368421053,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
distal_terminal,tRNA,12,12.124713083397092,-0.014916202244714771,0.5217391304347826,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
distal_terminal,unknown,194,146.55087987758225,0.40465502255476216,0.697841726618705,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,diverse,4,3.314460596786534,0.2712258981871061,0.21052631578947367,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,mRNA,142,125.42616679418515,0.17905257069607586,0.19749652294853964,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,ncRNA,7,12.03672532517215,-0.7820161230898734,0.10144927536231885,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,pre-rRNA,7,11.513389441469013,-0.7178857856701576,0.10606060606060606,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,ribosomal protein,3,3.1400153022188215,-0.06580908909046454,0.16666666666666666,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,snRNA,15,13.432287681713849,0.15925746654430856,0.19480519480519481,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,snoRNA,9,6.628921193573068,0.4411508996294184,0.23684210526315788,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,tRNA,2,4.012241775057383,-1.0044085444263213,0.08695652173913043,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_adjacent,unknown,39,48.49579188982403,-0.3143854422305675,0.14028776978417265,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_edge,diverse,1,0.8722264728385616,0.19722531674332908,0.05263157894736842,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_edge,mRNA,42,33.00688599846978,0.3476222925263773,0.0584144645340751,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_edge,ncRNA,1,3.1675592960979344,-1.6633716265912544,0.014492753623188406,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
domain_edge,pre-rRNA,1,3.0298393267023718,-1.5992412891715388,0.015151515151515152,position_lcr,1.9642359544593945e-37,,,SEG_intermediate,3.4374129203039405e-37
