method,algorithm,sheet,cluster_column,n_proteins,n_clusters,workbook
LCRFinder,pam,k6,cluster_pam_k6,1008,6,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,pam,k7,cluster_pam_k7,1008,7,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,pam,k8,cluster_pam_k8,1008,8,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,pam,k9,cluster_pam_k9,1008,9,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,pam,k10,cluster_pam_k10,1008,10,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,hierarchical,k2,cluster_hierarchical_k2,1008,2,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k3,cluster_hierarchical_k3,1008,3,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k4,cluster_hierarchical_k4,1008,4,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k5,cluster_hierarchical_k5,1008,5,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k6,cluster_hierarchical_k6,1008,6,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k7,cluster_hierarchical_k7,1008,7,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k8,cluster_hierarchical_k8,1008,8,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k9,cluster_hierarchical_k9,1008,9,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k10,cluster_hierarchical_k10,1008,10,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hdbscan,hdbscan,cluster_hdbscan,1008,4,lcr_analyses\clustering\carriers\rna_class_overlap\LCRFinder\overlap_hdbscan.xlsx
SEG,pam,k2,cluster_pam_k2,296,2,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k3,cluster_pam_k3,296,3,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k4,cluster_pam_k4,296,4,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k5,cluster_pam_k5,296,5,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k6,cluster_pam_k6,296,6,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k7,cluster_pam_k7,296,7,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k8,cluster_pam_k8,296,8,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k9,cluster_pam_k9,296,9,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k10,cluster_pam_k10,296,10,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,hierarchical,k2,cluster_hierarchical_k2,296,2,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k3,cluster_hierarchical_k3,296,3,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k4,cluster_hierarchical_k4,296,4,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k5,cluster_hierarchical_k5,296,5,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k6,cluster_hierarchical_k6,296,6,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k7,cluster_hierarchical_k7,296,7,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k8,cluster_hierarchical_k8,296,8,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k9,cluster_hierarchical_k9,296,9,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k10,cluster_hierarchical_k10,296,10,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hdbscan,hdbscan,cluster_hdbscan,296,3,lcr_analyses\clustering\carriers\rna_class_overlap\SEG\overlap_hdbscan.xlsx
SEG_intermediate,pam,k2,cluster_pam_k2,622,2,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k3,cluster_pam_k3,622,3,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k4,cluster_pam_k4,622,4,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k5,cluster_pam_k5,622,5,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k6,cluster_pam_k6,622,6,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k7,cluster_pam_k7,622,7,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k8,cluster_pam_k8,622,8,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k9,cluster_pam_k9,622,9,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k10,cluster_pam_k10,622,10,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,hierarchical,k2,cluster_hierarchical_k2,622,2,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k3,cluster_hierarchical_k3,622,3,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k4,cluster_hierarchical_k4,622,4,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k5,cluster_hierarchical_k5,622,5,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k6,cluster_hierarchical_k6,622,6,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k7,cluster_hierarchical_k7,622,7,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k8,cluster_hierarchical_k8,622,8,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k9,cluster_hierarchical_k9,622,9,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k10,cluster_hierarchical_k10,622,10,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hdbscan,hdbscan,cluster_hdbscan,622,3,lcr_analyses\clustering\carriers\rna_class_overlap\SEG_intermediate\overlap_hdbscan.xlsx
