method,rna_primary_class,n_input,status,min_cluster_size,n_clusters,noise_fraction
CAST,diverse,30,clustered,5,2,0.4667
CAST,mRNA,1210,clustered,5,44,0.6512
CAST,ncRNA,156,clustered,5,2,0.4808
CAST,pre-rRNA,159,clustered,5,2,0.4906
CAST,ribosomal protein,50,clustered,5,2,0.68
CAST,snRNA,151,clustered,5,6,0.5232
CAST,snoRNA,62,clustered,5,2,0.5323
CAST,tRNA,68,clustered,5,2,0.8235
CAST,unknown,603,clustered,5,2,0.073
