method,rna_primary_class,n_input,status,min_cluster_size,n_clusters,noise_fraction
fLPS_strict,diverse,161,clustered,5,3,0.3602
fLPS_strict,mRNA,4397,clustered,5,276,0.4369
fLPS_strict,ncRNA,607,clustered,5,20,0.4827
fLPS_strict,pre-rRNA,484,clustered,5,12,0.3285
fLPS_strict,ribosomal protein,220,clustered,5,4,0.2182
fLPS_strict,snRNA,470,clustered,5,6,0.2234
fLPS_strict,snoRNA,189,clustered,5,4,0.1164
fLPS_strict,tRNA,326,clustered,5,19,0.4356
fLPS_strict,unknown,2249,clustered,5,133,0.442
