rna_class,0,1,2,3
mRNA,0.6527590847913862,0.1224764468371467,0.13189771197846567,0.09286675639300135
tRNA,0.3146067415730337,0.2696629213483146,0.2303370786516854,0.1853932584269663
pre-rRNA,0.5882352941176471,0.15966386554621848,0.16806722689075632,0.08403361344537816
snRNA,0.5980392156862745,0.17647058823529413,0.12745098039215685,0.09803921568627451
snoRNA,0.7073170731707317,0.12195121951219512,0.07317073170731707,0.0975609756097561
ncRNA,0.6229508196721312,0.1557377049180328,0.14754098360655737,0.07377049180327869
ribosomal protein,0.0963855421686747,0.3493975903614458,0.26506024096385544,0.2891566265060241
diverse,0.5319148936170213,0.19148936170212766,0.19148936170212766,0.0851063829787234
unknown,0.5985221674876847,0.14285714285714285,0.16009852216748768,0.09852216748768473
