rna_class,0,1,2,3
mRNA,485,91,98,69
tRNA,56,48,41,33
pre-rRNA,70,19,20,10
snRNA,61,18,13,10
snoRNA,29,5,3,4
ncRNA,76,19,18,9
ribosomal protein,16,58,44,48
diverse,25,9,9,4
unknown,243,58,65,40
