rna_class,0,1,2,3
mRNA,573,103,39,28
tRNA,175,1,1,1
pre-rRNA,105,12,0,2
snRNA,83,15,2,2
snoRNA,31,5,2,3
ncRNA,108,9,2,3
ribosomal protein,162,4,0,0
diverse,45,2,0,0
unknown,346,40,13,7
