rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,743,4,0.05,3,0 (77.1%); 1 (13.9%); 2 (5.2%),0,573,0.7711978465679677
tRNA,178,4,0.05,1,0 (98.3%),0,175,0.9831460674157303
pre-rRNA,119,4,0.05,2,0 (88.2%); 1 (10.1%),0,105,0.8823529411764706
snRNA,102,4,0.05,2,0 (81.4%); 1 (14.7%),0,83,0.8137254901960784
snoRNA,41,4,0.05,3,0 (75.6%); 1 (12.2%); 3 (7.3%),0,31,0.7560975609756098
ncRNA,122,4,0.05,2,0 (88.5%); 1 (7.4%),0,108,0.8852459016393442
ribosomal protein,166,4,0.05,1,0 (97.6%),0,162,0.9759036144578314
diverse,47,4,0.05,1,0 (95.7%),0,45,0.9574468085106383
unknown,406,4,0.05,2,0 (85.2%); 1 (9.9%),0,346,0.8522167487684729
