rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
snRNA,9,0.10222222222222223,0.13247093829921505,0.10725932290078723,0.04186795491143317,0.17302798982188294,0.13116003491044978,0.0021028644433326036,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
snoRNA,11,0.24124513618677043,0.2510998210109107,0.27976050508274686,0.027217273265543518,0.30812509225870394,0.2809078189931604,0.0021028644433326036,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
tRNA,3,0.06903353057199212,0.06799792358458376,0.0318914676805678,0.05231739819738847,0.08419625246548323,0.03187885426809477,0.0021028644433326036,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
unknown,23,0.07431340872374798,0.14591936842008862,0.16328720525671794,0.04375406741706172,0.1585338097581127,0.11477974234105098,0.0021028644433326036,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
diverse,8,0.277465793292288,0.29616865777619206,0.19539126476795074,0.1388478464502218,0.4968493603115005,0.3580015138612787,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
mRNA,130,0.1833161492343529,0.24223681748849368,0.18866384175014536,0.1153725041985445,0.3204543860133973,0.20508188181485282,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
ncRNA,20,0.19699288831799577,0.30628493326616885,0.2755175700624933,0.13070414131643418,0.4271693232396242,0.29646518192319005,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
pre-rRNA,11,0.36167664670658684,0.3848645893063635,0.2047263121247062,0.2588396038408116,0.46101741710806865,0.20217781326725703,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
ribosomal protein,2,0.23468545057080398,0.23468545057080398,0.11054018080438716,0.1956035948506194,0.2737673062909886,0.07816371144036921,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
snRNA,11,0.25833333333333336,0.30239435000117953,0.1950214424632837,0.14019219898247598,0.4113269967170325,0.2711347977345565,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
snoRNA,5,0.26430976430976433,0.2617902903363519,0.09285377146960824,0.1919191919191919,0.27032136105860116,0.07840216913940926,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
tRNA,13,0.158953722334004,0.19707881980027536,0.1508207587964302,0.07152682255845942,0.3017241379310345,0.23019731537257504,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
unknown,75,0.21629213483146068,0.24972145504321722,0.1601780740300183,0.10372755330562977,0.3660566751273359,0.26232912182170615,0.22620174329458087,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
diverse,2,0.009096111431239692,0.009096111431239692,0.00039958902491595753,0.008954835376636796,0.009237387485842588,0.00028255210920579213,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
mRNA,128,0.0610060415024954,0.0885833667721987,0.08115806971509139,0.037274525968672714,0.11718177655677656,0.07990725058810384,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
