rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
tRNA,62,0.1333333333333333,0.13630828712150808,0.07557362142264051,0.08605200945626477,0.1770290394638868,0.09097703000762201,0.08631238898164025,CAST,lcr,frac_strong_hydro,0.08631238898164025
unknown,460,0.1666666666666667,0.16263402195384097,0.09006537697863068,0.1176470588235294,0.20379123089300086,0.08614417206947146,0.08631238898164025,CAST,lcr,frac_strong_hydro,0.08631238898164025
diverse,27,0.0625,0.0822447116725005,0.0942517922243799,0.04563749074759438,0.0786096256684492,0.03297213492085482,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
mRNA,879,0.05288461538461538,0.0632829155006146,0.06946987063880423,0.02395209580838323,0.08333333333333333,0.0593812375249501,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
ncRNA,124,0.04861868411486732,0.061911196172472135,0.09365625101359312,0.018804243008678882,0.07834278289629104,0.05953853988761216,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
pre-rRNA,119,0.04,0.04428575280783047,0.030334668511444094,0.018524871355060035,0.06581182065217392,0.047286949297113884,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
ribosomal protein,48,0.04721388054721388,0.04946444142517494,0.03829309876869527,0.025986842105263155,0.06756975989617131,0.041582917790908155,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
snRNA,109,0.03846153846153846,0.04715784059162897,0.05052947900373803,0.02051282051282051,0.06572769953051644,0.04521487901769593,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
snoRNA,52,0.03756613756613757,0.039900915161593456,0.03650119015292488,0.0,0.05599787685774947,0.05599787685774947,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
tRNA,62,0.031069015444015444,0.04986864826782436,0.07466154459477764,0.014440639269406393,0.0601547842401501,0.045714144970743706,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
unknown,460,0.04761904761904762,0.056570420871355935,0.05680479595448628,0.020779639175257728,0.07692307692307693,0.0561434377478192,0.0001323008161503537,CAST,lcr,frac_aromatic,0.00018191362220673632
diverse,27,0.6617647058823529,0.6579056141718493,0.1366117232855541,0.600577731092437,0.727540921202893,0.1269631901104561,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
mRNA,879,0.6875,0.7018811071036385,0.12149149832521139,0.625,0.7734604105571847,0.14846041055718473,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
ncRNA,124,0.6817231548938867,0.6818901433103811,0.13170856168548892,0.6057801017524025,0.7736523652365237,0.1678722634841212,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
pre-rRNA,119,0.7,0.6887168484640116,0.10304001658305163,0.6252247900365404,0.7472066546825984,0.12198186464605798,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
ribosomal protein,48,0.7244897959183674,0.7363790755140137,0.10812732878016154,0.6473339160839161,0.7789855072463768,0.13165159116246072,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
snRNA,109,0.723404255319149,0.7189600356705668,0.09836996822732243,0.6497175141242938,0.7777777777777778,0.128060263653484,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
snoRNA,52,0.7258064516129032,0.7217274268129567,0.14413748752590888,0.6615171730944034,0.8,0.13848282690559666,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
tRNA,62,0.7104770298556792,0.6999638152728711,0.1504664410130054,0.647716894977169,0.8062435500515995,0.15852665507443053,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
unknown,460,0.6872282608695652,0.6903566806062678,0.12324555584768243,0.6221886221886221,0.7632775119617226,0.1410888897731004,0.013727648513683584,CAST,lcr,frac_disorder,0.015100413365051942
diverse,27,0.1268656716417911,0.15174971095504855,0.11775169246416703,0.07893772893772893,0.20755614769699277,0.12861841875926383,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
mRNA,879,0.1132075471698113,0.13725103063055752,0.11563344112456307,0.04947774997279948,0.1963298139768728,0.1468520640040733,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
ncRNA,124,0.11001100110011,0.14284218388634248,0.11582995697618846,0.058403361344537816,0.19962042788129747,0.14121706653675964,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
pre-rRNA,119,0.2352941176470588,0.22855631056589057,0.1310086791277984,0.12556306306306303,0.32278542353169215,0.19722236046862912,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
ribosomal protein,48,0.3283012418821921,0.3040026748710594,0.1621835976829179,0.21384653221839647,0.39679890023566383,0.18295236801726736,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
snRNA,109,0.154320987654321,0.18624278102575223,0.13274831786531482,0.06944444444444445,0.2670454545454545,0.19760101010101003,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
snoRNA,52,0.1838095238095238,0.185015104817562,0.11298020860406993,0.1111111111111111,0.27396239983562765,0.16285128872451654,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
