rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,743,4,0.05,4,0 (37.4%); 1 (50.1%); 2 (5.9%); 3 (6.6%),1,372,0.5006729475100942
tRNA,178,4,0.05,4,0 (71.3%); 1 (11.8%); 2 (7.3%); 3 (9.6%),0,127,0.7134831460674157
pre-rRNA,119,4,0.05,4,0 (43.7%); 1 (37.8%); 2 (9.2%); 3 (9.2%),0,52,0.4369747899159664
snRNA,102,4,0.05,3,0 (43.1%); 1 (43.1%); 2 (8.8%),0,44,0.43137254901960786
snoRNA,41,4,0.05,4,0 (29.3%); 1 (51.2%); 2 (9.8%); 3 (9.8%),1,21,0.5121951219512195
ncRNA,122,4,0.05,3,0 (46.7%); 1 (41.0%); 3 (7.4%),0,57,0.4672131147540984
ribosomal protein,166,4,0.05,2,0 (87.3%); 1 (5.4%),0,145,0.8734939759036144
diverse,47,4,0.05,4,0 (55.3%); 1 (23.4%); 2 (12.8%); 3 (8.5%),0,26,0.5531914893617021
unknown,406,4,0.05,4,0 (43.1%); 1 (39.7%); 2 (9.9%); 3 (7.4%),0,175,0.43103448275862066
