rna_class,0,1,2,3
mRNA,278,372,44,49
tRNA,127,21,13,17
pre-rRNA,52,45,11,11
snRNA,44,44,9,5
snoRNA,12,21,4,4
ncRNA,57,50,6,9
ribosomal protein,145,9,6,6
diverse,26,11,6,4
unknown,175,161,40,30
