rna_class,AlcoR,CAST,FLPS,LCRFinder,SEG,SEG_intermediate
diverse,0.1161105493764745,0.1267605633802817,0.0444664031620553,0.0,0.03125,0.0476190476190476
mRNA,0.1174518479958355,0.1041666666666667,0.0666666666666666,0.0,0.0,0.032258064516129
ncRNA,0.1088090204369273,0.1306935817805383,0.0687022900763358,0.0,0.0192307692307692,0.1
pre-rRNA,0.1194029850746269,0.1711229946524064,0.1,0.2,0.7529411764705882,0.5075757575757576
ribosomal protein,0.0833333333333333,0.100111234705228,0.0465367965367965,0.0,0.0,0.0448343079922027
snRNA,0.1238095238095238,0.1790123456790123,0.1,0.0,0.0419580419580419,0.0714285714285714
snoRNA,0.1203619909502262,0.1738493938771317,0.12,0.0,0.4285714285714285,0.271889400921659
tRNA,0.1204819277108434,0.1759504862953139,0.0769230769230769,0.0,0.1746794871794871,0.2272727272727273
unknown,0.119047619047619,0.1457866334578663,0.073170731707317,0.0,0.0333333333333333,0.0506410256410256
