method,rna_class,metric,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
SEG_intermediate,mRNA,frac_positive,719,0.0869565217391304,0.0,0.3249528598365807,0.3249528598365807,0.1683669406259162,0.1813967348985287,5.774737017093e-07,7.699649356124e-07
SEG_intermediate,ncRNA,frac_positive,69,0.0476190476190476,0.0,0.125,0.125,0.1198058522077038,0.1769194813678695,5.774737017093e-07,7.699649356124e-07
SEG_intermediate,pre-rRNA,frac_positive,66,0.0,0.0,0.1071428571428571,0.1071428571428571,0.104430667479219,0.1904674930444578,5.774737017093e-07,7.699649356124e-07
SEG_intermediate,ribosomal protein,frac_positive,18,0.3403575989782886,0.1108630952380952,0.4666666666666667,0.3558035714285714,0.2918287015045492,0.2005407206801843,5.774737017093e-07,7.699649356124e-07
SEG_intermediate,snRNA,frac_positive,77,0.1379310344827586,0.037037037037037,0.4347826086956522,0.3977455716586152,0.230222229970317,0.2135550244591798,5.774737017093e-07,7.699649356124e-07
SEG_intermediate,snoRNA,frac_positive,38,0.1334816462736373,0.0052083333333333,0.2167174796747967,0.2115091463414633,0.1654544398008351,0.1874549384941198,5.774737017093e-07,7.699649356124e-07
SEG_intermediate,tRNA,frac_positive,23,0.1153846153846154,0.0446428571428571,0.376984126984127,0.3323412698412698,0.184864131255086,0.1784246403169563,5.774737017093e-07,7.699649356124e-07
SEG_intermediate,unknown,frac_positive,278,0.0434782608695652,0.0,0.2326923076923077,0.2326923076923077,0.1396224718885971,0.1876138515893061,5.774737017093e-07,7.699649356124e-07
AlcoR,diverse,ncpr,60,0.0,-0.0299090264650283,0.0635416666666666,0.093450693131695,0.0248322918367446,0.1063715145129784,1.968504012084101e-09,7.874016048336407e-09
AlcoR,mRNA,ncpr,1040,0.0,-0.0555555555555555,0.0571428571428571,0.1126984126984126,0.0035771157418888,0.1254961256996116,1.968504012084101e-09,7.874016048336407e-09
AlcoR,ncRNA,ncpr,196,0.0080445170265529,-0.0387009256303862,0.0776923076923077,0.1163932333226939,0.0170940106714245,0.1267075182123924,1.968504012084101e-09,7.874016048336407e-09
AlcoR,pre-rRNA,ncpr,133,0.0,-0.0555555555555555,0.0833333333333333,0.1388888888888889,0.0053432089437369,0.152583392879799,1.968504012084101e-09,7.874016048336407e-09
AlcoR,ribosomal protein,ncpr,98,0.0822072072072072,0.0,0.1666666666666667,0.1666666666666667,0.0903362562899563,0.1243455983361091,1.968504012084101e-09,7.874016048336407e-09
AlcoR,snRNA,ncpr,87,0.0,-0.0717205323193916,0.0611007462686567,0.1328212785880483,0.0067414708906266,0.1237277970646105,1.968504012084101e-09,7.874016048336407e-09
AlcoR,snoRNA,ncpr,60,0.0,-0.0860248447204969,0.0377668308702791,0.123791675590776,-0.0209264360727382,0.1365087826386629,1.968504012084101e-09,7.874016048336407e-09
AlcoR,tRNA,ncpr,245,0.0,-0.0514705882352941,0.0625,0.1139705882352941,0.0060954483046168,0.1162723777192303,1.968504012084101e-09,7.874016048336407e-09
AlcoR,unknown,ncpr,885,0.0,-0.0517241379310344,0.0625,0.1142241379310344,-0.0002612431627593,0.1288553359242178,1.968504012084101e-09,7.874016048336407e-09
CAST,diverse,ncpr,27,0.0094476744186046,-0.0395010395010395,0.0640197568389057,0.1035207963399452,0.0092412774429507,0.1519359386321966,6.091887392112402e-09,1.2183774784224805e-08
CAST,mRNA,ncpr,879,0.0,-0.0588235294117647,0.0689655172413793,0.127789046653144,-0.0046260985920917,0.1692241530009149,6.091887392112402e-09,1.2183774784224805e-08
CAST,ncRNA,ncpr,124,0.0,-0.0872776365946632,0.0560444650301065,0.1433221016247698,-0.0339275059428281,0.1829805609447086,6.091887392112402e-09,1.2183774784224805e-08
CAST,pre-rRNA,ncpr,119,0.0490566037735849,-0.1933929270885793,0.2001742004645345,0.3935671275531138,-0.0075708626065659,0.2943646522091577,6.091887392112402e-09,1.2183774784224805e-08
CAST,ribosomal protein,ncpr,48,0.231810115350488,0.0267857142857142,0.2845864661654135,0.2578007518796992,0.1785075524530404,0.2208014019789576,6.091887392112402e-09,1.2183774784224805e-08
CAST,snRNA,ncpr,109,0.0,-0.0967741935483871,0.0879629629629629,0.18473715651135,-0.0064097954511486,0.1860371585276158,6.091887392112402e-09,1.2183774784224805e-08
CAST,snoRNA,ncpr,52,0.0,-0.1604761904761905,0.1437670609645131,0.3042432514407036,-0.0272634845354957,0.2370424978988336,6.091887392112402e-09,1.2183774784224805e-08
CAST,tRNA,ncpr,62,0.0,-0.0833333333333333,0.0679966978536048,0.1513300311869381,-0.055394629225656,0.2161872106231398,6.091887392112402e-09,1.2183774784224805e-08
CAST,unknown,ncpr,460,0.0,-0.0847714432460195,0.0509884517518105,0.13575989499783,-0.0229848910565408,0.1640834103108799,6.091887392112402e-09,1.2183774784224805e-08
FLPS,diverse,ncpr,176,0.0,-0.0695812807881773,0.1553846153846154,0.2249658961727927,0.0118550820943444,0.2934872586140404,1.6357220336505492e-19,2.804094914829513e-19
FLPS,mRNA,ncpr,3504,0.0,-0.0640013726835964,0.1111111111111111,0.1751124837947075,-0.002404138109029,0.2908113098855818,1.6357220336505492e-19,2.804094914829513e-19
FLPS,ncRNA,ncpr,603,0.0,-0.08,0.1394444444444444,0.2194444444444444,0.0191145178717559,0.3353635345818418,1.6357220336505492e-19,2.804094914829513e-19
FLPS,pre-rRNA,ncpr,497,0.0555555555555555,-0.2941176470588235,0.3333333333333333,0.6274509803921569,0.0250801856248532,0.4698906919463647,1.6357220336505492e-19,2.804094914829513e-19
FLPS,ribosomal protein,ncpr,204,0.2247474747474747,0.0,0.3894927536231884,0.3894927536231884,0.218335200951141,0.2955927429100259,1.6357220336505492e-19,2.804094914829513e-19
FLPS,snRNA,ncpr,441,0.0,-0.1666666666666667,0.1666666666666667,0.3333333333333334,-0.0121586009099791,0.356160691373495,1.6357220336505492e-19,2.804094914829513e-19
FLPS,snoRNA,ncpr,185,0.0,-0.3,0.2758620689655172,0.5758620689655172,-0.0264161769088782,0.4671156376310174,1.6357220336505492e-19,2.804094914829513e-19
FLPS,tRNA,ncpr,385,0.0,-0.0769230769230769,0.1666666666666667,0.2435897435897436,0.0425271054375146,0.3351818899730996,1.6357220336505492e-19,2.804094914829513e-19
FLPS,unknown,ncpr,2104,0.0,-0.0909090909090909,0.1428571428571428,0.2337662337662337,0.0073458799150906,0.3342605305261776,1.6357220336505492e-19,2.804094914829513e-19
LCRFinder,diverse,ncpr,93,0.0,0.0,0.0,0.0,0.0173707117255504,0.3384770354573054,1.0433903042964458e-13,1.5650854564446688e-13
LCRFinder,mRNA,ncpr,3379,0.0,0.0,0.1666666666666667,0.1666666666666667,0.028390318224666,0.3812931143116791,1.0433903042964458e-13,1.5650854564446688e-13
LCRFinder,ncRNA,ncpr,396,0.0,-0.1691176470588235,0.0,0.1691176470588235,-0.0557502963113966,0.4301640895030913,1.0433903042964458e-13,1.5650854564446688e-13
LCRFinder,pre-rRNA,ncpr,320,0.0,-0.7035714285714285,0.375,1.0785714285714283,-0.1153842447447586,0.6383155253259732,1.0433903042964458e-13,1.5650854564446688e-13
LCRFinder,ribosomal protein,ncpr,52,0.2666666666666666,0.0,0.6285714285714286,0.6285714285714286,0.2886568088773971,0.5169352946069129,1.0433903042964458e-13,1.5650854564446688e-13
LCRFinder,snRNA,ncpr,351,0.0,-0.1055555555555555,0.2157622739018088,0.3213178294573643,0.0330228459087274,0.4533063637904243,1.0433903042964458e-13,1.5650854564446688e-13
LCRFinder,snoRNA,ncpr,150,0.0,-0.4916666666666667,0.5,0.9916666666666668,-0.0175562266165207,0.5725027989117791,1.0433903042964458e-13,1.5650854564446688e-13
LCRFinder,tRNA,ncpr,147,0.0,0.0,0.3264705882352942,0.3264705882352942,0.0332349851290036,0.488187018819034,1.0433903042964458e-13,1.5650854564446688e-13
LCRFinder,unknown,ncpr,1483,0.0,-0.125,0.1,0.225,-0.0229869008527513,0.4379255176369356,1.0433903042964458e-13,1.5650854564446688e-13
SEG,diverse,ncpr,2,0.0072115384615384,-0.0276442307692307,0.0420673076923076,0.0697115384615384,0.0072115384615384,0.0985870031462013,6.649661246627635e-13,7.979593495953162e-12
SEG,mRNA,ncpr,287,0.0208333333333333,0.0,0.2083333333333333,0.2083333333333333,0.0514634521843831,0.3185535599079976,6.649661246627635e-13,7.979593495953162e-12
SEG,ncRNA,ncpr,34,0.0,-0.3181818181818182,0.0440909090909091,0.3622727272727273,-0.1371996567710989,0.3406473993298656,6.649661246627635e-13,7.979593495953162e-12
SEG,pre-rRNA,ncpr,20,-0.7370967741935484,-0.887987012987013,-0.5064338235294118,0.3815531894576012,-0.6240312284376197,0.3604241747097138,6.649661246627635e-13,7.979593495953162e-12
SEG,ribosomal protein,ncpr,4,0.0869565217391304,-0.0833333333333333,0.2241847826086956,0.307518115942029,0.0538949275362318,0.3002017127124359,6.649661246627635e-13,7.979593495953162e-12
SEG,snRNA,ncpr,26,0.3506944444444444,0.0,0.5,0.5,0.230636535677794,0.3266481744012765,6.649661246627635e-13,7.979593495953162e-12
SEG,snoRNA,ncpr,21,-0.3529411764705883,-0.4736842105263158,0.1590909090909091,0.6327751196172249,-0.2874502920308763,0.4182908718011897,6.649661246627635e-13,7.979593495953162e-12
SEG,tRNA,ncpr,6,0.0751728110599078,-0.4741071428571428,0.1179435483870967,0.5920506912442396,-0.1518298607008284,0.4546319969119063,6.649661246627635e-13,7.979593495953162e-12
SEG,unknown,ncpr,93,0.0,-0.4137931034482759,0.04,0.4537931034482759,-0.1547031321073825,0.3964964488253315,6.649661246627635e-13,7.979593495953162e-12
SEG_intermediate,diverse,ncpr,19,0.0,-0.009090909090909,0.0438095238095238,0.0529004329004329,0.0044948622476323,0.0914012361465808,1.1996271798531673e-19,4.798508719412669e-19
SEG_intermediate,mRNA,ncpr,719,0.0303030303030303,0.0,0.2083333333333333,0.2083333333333333,0.0433917665860961,0.2680531462559817,1.1996271798531673e-19,4.798508719412669e-19
SEG_intermediate,ncRNA,ncpr,69,0.0,-0.35,0.0606060606060606,0.4106060606060606,-0.1061450566048467,0.3379871605495349,1.1996271798531673e-19,4.798508719412669e-19
SEG_intermediate,pre-rRNA,ncpr,66,-0.5,-0.6310916179337231,-0.2589285714285714,0.3721630465051517,-0.3750556030518529,0.4164003194107969,1.1996271798531673e-19,4.798508719412669e-19
SEG_intermediate,ribosomal protein,ncpr,18,0.2595785440613027,0.0,0.4,0.4,0.2079726398443762,0.2577222287893151,1.1996271798531673e-19,4.798508719412669e-19
SEG_intermediate,snRNA,ncpr,77,0.0833333333333333,0.0,0.2272727272727273,0.2272727272727273,0.0812305250715643,0.2635072766402125,1.1996271798531673e-19,4.798508719412669e-19
SEG_intermediate,snoRNA,ncpr,38,-0.1180875576036866,-0.4600840336134453,0.1416256157635467,0.601709649376992,-0.1495474549387392,0.402407246318166,1.1996271798531673e-19,4.798508719412669e-19
SEG_intermediate,tRNA,ncpr,23,0.0476190476190476,-0.1146616541353383,0.1333333333333333,0.2479949874686716,-0.0668041955407352,0.3016304428717983,1.1996271798531673e-19,4.798508719412669e-19
SEG_intermediate,unknown,ncpr,278,0.0,-0.1111111111111111,0.1063311688311688,0.2174422799422799,-0.0466154884709225,0.3228628850208626,1.1996271798531673e-19,4.798508719412669e-19
