rna_class,AlcoR,CAST,FLPS,LCRFinder,SEG,SEG_intermediate
diverse,0.125,0.1268656716417911,0.0588235294117647,0.0,0.0384615384615384,0.04
mRNA,0.12,0.1132075471698113,0.074074074074074,0.0,0.0476190476190476,0.0869565217391304
ncRNA,0.125,0.11001100110011,0.0769230769230769,0.0,0.037037037037037,0.0476190476190476
pre-rRNA,0.130718954248366,0.2352941176470588,0.1428571428571428,0.0,0.0,0.0
ribosomal protein,0.1655251141552511,0.3283012418821921,0.2880184331797235,0.3666666666666667,0.0869565217391304,0.3403575989782886
snRNA,0.125,0.154320987654321,0.0909090909090909,0.0,0.5,0.1379310344827586
snoRNA,0.1119658119658119,0.1838095238095238,0.1090909090909091,0.1,0.037037037037037,0.1334816462736373
tRNA,0.1222707423580786,0.1214756258234519,0.08,0.0,0.1002304147465437,0.1153846153846154
unknown,0.1262458471760797,0.1208470244614823,0.0833333333333333,0.0,0.0,0.0434782608695652
