level,method,metric,rna_class,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
protein,SEG,coverage,snRNA,19,0.0368217054263565,0.0274154810284632,0.1148626282687851,0.0874471472403219,0.0887349542252864,0.1102248261136382,0.0001095383548593,0.0007180847707447
protein,SEG,coverage,snoRNA,10,0.1117649077060317,0.042060084139938,0.2151113266424896,0.1730512425025516,0.1494413647063388,0.1383384222371902,0.0001095383548593,0.0007180847707447
protein,SEG,coverage,tRNA,3,0.0508196721311475,0.0356979019091951,0.1535853556960587,0.1178874537868635,0.1092489476931201,0.1282884910752815,0.0001095383548593,0.0007180847707447
protein,SEG,coverage,unknown,60,0.0272789284385464,0.0156139299574531,0.041451665953436,0.0258377359959829,0.0389801428500828,0.0395183013867869,0.0001095383548593,0.0007180847707447
protein,SEG_intermediate,coverage,diverse,9,0.0897435897435897,0.0662824207492795,0.1416083916083916,0.075325970859112,0.1026222376539806,0.0596317909742935,9.376608608431836e-06,8.022209587213905e-05
protein,SEG_intermediate,coverage,mRNA,330,0.0846957160016015,0.0379428033591225,0.1732243115586846,0.135281508199562,0.1303364167103882,0.1225719557347316,9.376608608431836e-06,8.022209587213905e-05
protein,SEG_intermediate,coverage,ncRNA,36,0.054396706793967,0.0348427048494983,0.0900164442476756,0.0551737393981773,0.0748976852308675,0.0648367655173703,9.376608608431836e-06,8.022209587213905e-05
protein,SEG_intermediate,coverage,pre-rRNA,39,0.0575980392156862,0.0340262970859985,0.0823426253543617,0.0483163282683631,0.0653429134442564,0.0423828992970133,9.376608608431836e-06,8.022209587213905e-05
protein,SEG_intermediate,coverage,ribosomal protein,16,0.1226325757575757,0.0824822518370905,0.2221551585385482,0.1396729067014576,0.2024516533148953,0.2328343210568099,9.376608608431836e-06,8.022209587213905e-05
protein,SEG_intermediate,coverage,snRNA,39,0.1471861471861472,0.0464548400454853,0.204822511964427,0.1583676719189417,0.1540086383382629,0.1252920029859184,9.376608608431836e-06,8.022209587213905e-05
protein,SEG_intermediate,coverage,snoRNA,18,0.0562689147813689,0.0475528968095047,0.2083292928313413,0.1607763960218366,0.1347634899316788,0.1351525263654368,9.376608608431836e-06,8.022209587213905e-05
protein,SEG_intermediate,coverage,tRNA,17,0.0736698499317871,0.0232240437158469,0.1459016393442622,0.1226775956284152,0.0944960982656214,0.0856954418389394,9.376608608431836e-06,8.022209587213905e-05
protein,SEG_intermediate,coverage,unknown,118,0.0536788248528902,0.0328209741343345,0.0893791822863749,0.0565582081520403,0.0817698001188994,0.0793715924438633,9.376608608431836e-06,8.022209587213905e-05
lcr,AlcoR,coverage_per_lcr,diverse,60,0.0721247563352826,0.0196737044145873,0.154934380759558,0.1352606763449707,0.1647037202508216,0.2428191516611056,6.605169798341823e-16,7.926203758010188e-15
lcr,AlcoR,coverage_per_lcr,mRNA,1040,0.0474315710536182,0.021327868852459,0.1465864227993337,0.1252585539468747,0.1424183233242121,0.2220817761278119,6.605169798341823e-16,7.926203758010188e-15
lcr,AlcoR,coverage_per_lcr,ncRNA,196,0.0331398541062044,0.0178196235321206,0.078547794117647,0.0607281705855264,0.0962463588094426,0.1710732866455787,6.605169798341823e-16,7.926203758010188e-15
lcr,AlcoR,coverage_per_lcr,pre-rRNA,133,0.0431765612952968,0.0171503957783641,0.1441798941798941,0.12702949840153,0.1642812074002501,0.2692158937185562,6.605169798341823e-16,7.926203758010188e-15
lcr,AlcoR,coverage_per_lcr,ribosomal protein,98,0.1318388307327671,0.0831533028666389,0.3726050819820636,0.2894517791154246,0.2755949465341123,0.2951055539750004,6.605169798341823e-16,7.926203758010188e-15
lcr,AlcoR,coverage_per_lcr,snRNA,87,0.0593385214007782,0.0191615887232949,0.2223779621738805,0.2032163734505856,0.1936574401574967,0.2949128918072901,6.605169798341823e-16,7.926203758010188e-15
lcr,AlcoR,coverage_per_lcr,snoRNA,60,0.0328620503648184,0.0220045309615707,0.089801975304204,0.0677974443426333,0.0948028826090337,0.1748039441581168,6.605169798341823e-16,7.926203758010188e-15
lcr,AlcoR,coverage_per_lcr,tRNA,245,0.047808764940239,0.0257104194857916,0.1265560165975103,0.1008455971117187,0.1284107200910775,0.1989643215983818,6.605169798341823e-16,7.926203758010188e-15
lcr,AlcoR,coverage_per_lcr,unknown,885,0.0411663807890223,0.0170415814587593,0.1404140414041404,0.123372459945381,0.1281640077508608,0.2003433865312055,6.605169798341823e-16,7.926203758010188e-15
lcr,CAST,coverage_per_lcr,diverse,27,0.1188760806916426,0.0541400222731034,0.2419180077445024,0.187777985471399,0.1786958100128055,0.2033837045371903,1.726115881219506e-14,5.178347643658519e-14
lcr,CAST,coverage_per_lcr,mRNA,879,0.1299040976460331,0.060409533249234,0.2736028999656488,0.2131933667164147,0.2065493439299657,0.2081311242031351,1.726115881219506e-14,5.178347643658519e-14
lcr,CAST,coverage_per_lcr,ncRNA,124,0.0933834367470145,0.0385746115246619,0.1958530121788269,0.1572784006541649,0.1566189671424559,0.186853044902358,1.726115881219506e-14,5.178347643658519e-14
lcr,CAST,coverage_per_lcr,pre-rRNA,119,0.1635883905013192,0.094088238844405,0.3040430622009569,0.2099548233565518,0.2337415762672031,0.1974484144481308,1.726115881219506e-14,5.178347643658519e-14
lcr,CAST,coverage_per_lcr,ribosomal protein,48,0.2626134301270417,0.1713776525198939,0.4277601443863579,0.256382491866464,0.344569905398207,0.2524847098027466,1.726115881219506e-14,5.178347643658519e-14
lcr,CAST,coverage_per_lcr,snRNA,109,0.1559356136820925,0.0638297872340425,0.2857142857142857,0.2218844984802431,0.189607018457207,0.1551107862126273,1.726115881219506e-14,5.178347643658519e-14
lcr,CAST,coverage_per_lcr,snoRNA,52,0.147799827437446,0.0555781998899976,0.2699184697610531,0.2143402698710555,0.2148620933411626,0.2327411001451017,1.726115881219506e-14,5.178347643658519e-14
lcr,CAST,coverage_per_lcr,tRNA,62,0.0980371514130638,0.0518682270474962,0.1876431585292345,0.1357749314817382,0.1405745469454755,0.1222199544511464,1.726115881219506e-14,5.178347643658519e-14
lcr,CAST,coverage_per_lcr,unknown,460,0.0917085524131594,0.0421139304011345,0.2068933045780169,0.1647793741768823,0.1575670270493471,0.1719117139423317,1.726115881219506e-14,5.178347643658519e-14
lcr,FLPS,coverage_per_lcr,diverse,176,0.0256229350953852,0.0141848602434812,0.0571949947862356,0.0430101345427544,0.0420264213932934,0.0497644017408962,1.860485183137963e-103,2.232582219765556e-102
lcr,FLPS,coverage_per_lcr,mRNA,3504,0.0269817995624447,0.0126272875953537,0.0565821360567768,0.043954848461423,0.048992520614798,0.0686594900143129,1.860485183137963e-103,2.232582219765556e-102
lcr,FLPS,coverage_per_lcr,ncRNA,603,0.0161439114391143,0.0082219999121274,0.0353639363858427,0.0271419364737153,0.0300131480936813,0.0385284271865203,1.860485183137963e-103,2.232582219765556e-102
lcr,FLPS,coverage_per_lcr,pre-rRNA,497,0.0242782152230971,0.0114247311827957,0.0477611940298507,0.036336462847055,0.0393343833853795,0.0443088297949207,1.860485183137963e-103,2.232582219765556e-102
lcr,FLPS,coverage_per_lcr,ribosomal protein,204,0.1038013059701492,0.0565805943164433,0.1825882486259844,0.126007654309541,0.1307222192410331,0.1167617972925751,1.860485183137963e-103,2.232582219765556e-102
lcr,FLPS,coverage_per_lcr,snRNA,441,0.0235294117647058,0.0109223300970873,0.0521844660194174,0.04126213592233,0.0499048615911791,0.0737700409244211,1.860485183137963e-103,2.232582219765556e-102
lcr,FLPS,coverage_per_lcr,snoRNA,185,0.0233463035019455,0.0118491921005386,0.0615384615384615,0.0496892694379229,0.0459251408400023,0.0539758292364774,1.860485183137963e-103,2.232582219765556e-102
lcr,FLPS,coverage_per_lcr,tRNA,385,0.024024024024024,0.0113636363636363,0.05,0.0386363636363636,0.0384795357748275,0.0401581691220528,1.860485183137963e-103,2.232582219765556e-102
lcr,FLPS,coverage_per_lcr,unknown,2104,0.0172975481422464,0.0089325597719731,0.0376015242943346,0.0286689645223615,0.0323597548983191,0.0485978275577899,1.860485183137963e-103,2.232582219765556e-102
lcr,LCRFinder,coverage_per_lcr,diverse,93,0.0069930069930069,0.0041753653444676,0.0113960113960113,0.0072206460515437,0.0109965258776457,0.0111769135870064,7.037198473588471e-95,8.444638168306164e-94
lcr,LCRFinder,coverage_per_lcr,mRNA,3379,0.0077639751552795,0.0044444444444444,0.0140845070422535,0.009640062597809,0.0118796421237544,0.0148895399639783,7.037198473588471e-95,8.444638168306164e-94
lcr,LCRFinder,coverage_per_lcr,ncRNA,396,0.0048780487804878,0.0028702640642939,0.0086623174518335,0.0057920533875396,0.0077564965104267,0.0103241101749124,7.037198473588471e-95,8.444638168306164e-94
lcr,LCRFinder,coverage_per_lcr,pre-rRNA,320,0.0072674418604651,0.0049109938815821,0.010752688172043,0.0058416942904608,0.0098360909109381,0.0096901614980121,7.037198473588471e-95,8.444638168306164e-94
lcr,LCRFinder,coverage_per_lcr,ribosomal protein,52,0.024024024024024,0.0185617833029686,0.0403211009174311,0.0217593176144625,0.0305771321532303,0.017502452684387,7.037198473588471e-95,8.444638168306164e-94
lcr,LCRFinder,coverage_per_lcr,snRNA,351,0.0079840319361277,0.0050150905432595,0.016025185382206,0.0110100948389465,0.0144919775115832,0.0209973846757538,7.037198473588471e-95,8.444638168306164e-94
lcr,LCRFinder,coverage_per_lcr,snoRNA,150,0.0102799354255238,0.0058737151248164,0.0196029020134896,0.0137291868886731,0.0169465120499979,0.0249343573259465,7.037198473588471e-95,8.444638168306164e-94
lcr,LCRFinder,coverage_per_lcr,tRNA,147,0.0085616438356164,0.00456996945399,0.014367816091954,0.0097978466379639,0.0121780008172469,0.0141525163481631,7.037198473588471e-95,8.444638168306164e-94
