rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,743,4,0.05,4,0 (49.3%); 1 (17.6%); 2 (21.3%); 3 (11.8%),0,366,0.49259757738896365
tRNA,178,4,0.05,4,0 (52.2%); 1 (18.5%); 2 (16.3%); 3 (12.9%),0,93,0.5224719101123596
pre-rRNA,119,4,0.05,4,0 (55.5%); 1 (12.6%); 2 (22.7%); 3 (9.2%),0,66,0.5546218487394958
snRNA,102,4,0.05,4,0 (59.8%); 1 (9.8%); 2 (22.5%); 3 (7.8%),0,61,0.5980392156862745
snoRNA,41,4,0.05,3,0 (51.2%); 1 (22.0%); 2 (24.4%),0,21,0.5121951219512195
ncRNA,122,4,0.05,4,0 (47.5%); 1 (22.1%); 2 (17.2%); 3 (13.1%),0,58,0.47540983606557374
ribosomal protein,166,4,0.05,4,0 (68.7%); 1 (6.6%); 2 (19.3%); 3 (5.4%),0,114,0.6867469879518072
diverse,47,4,0.05,4,0 (53.2%); 1 (21.3%); 2 (17.0%); 3 (8.5%),0,25,0.5319148936170213
unknown,406,4,0.05,4,0 (37.4%); 1 (29.3%); 2 (17.0%); 3 (16.3%),0,152,0.37438423645320196
