rna_class,0,1,2,3
mRNA,366,131,158,88
tRNA,93,33,29,23
pre-rRNA,66,15,27,11
snRNA,61,10,23,8
snoRNA,21,9,10,1
ncRNA,58,27,21,16
ribosomal protein,114,11,32,9
diverse,25,10,8,4
unknown,152,119,69,66
