rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,330,5,0.05,5,0 (43.6%); 1 (10.3%); 2 (17.9%); 3 (19.4%); 4 (8.8%),0,144,0.43636363636363634
tRNA,17,5,0.05,4,0 (41.2%); 1 (17.6%); 2 (5.9%); 4 (35.3%),0,7,0.4117647058823529
pre-rRNA,39,5,0.05,4,0 (7.7%); 1 (74.4%); 2 (5.1%); 4 (10.3%),1,29,0.7435897435897436
snRNA,39,5,0.05,5,0 (38.5%); 1 (17.9%); 2 (15.4%); 3 (12.8%); 4 (15.4%),0,15,0.38461538461538464
snoRNA,18,5,0.05,5,0 (16.7%); 1 (44.4%); 2 (16.7%); 3 (5.6%); 4 (16.7%),1,8,0.4444444444444444
ncRNA,36,5,0.05,4,0 (44.4%); 1 (33.3%); 2 (8.3%); 4 (13.9%),0,16,0.4444444444444444
ribosomal protein,16,5,0.05,5,0 (25.0%); 1 (6.2%); 2 (25.0%); 3 (6.2%); 4 (37.5%),4,6,0.375
diverse,9,5,0.05,2,0 (66.7%); 2 (33.3%),0,6,0.6666666666666666
unknown,118,5,0.05,5,0 (44.1%); 1 (21.2%); 2 (15.3%); 3 (6.8%); 4 (12.7%),0,52,0.4406779661016949
