rna_class,0,1,2,3,4
mRNA,144,34,59,64,29
tRNA,7,3,1,0,6
pre-rRNA,3,29,2,1,4
snRNA,15,7,6,5,6
snoRNA,3,8,3,1,3
ncRNA,16,12,3,0,5
ribosomal protein,4,1,4,1,6
diverse,6,0,3,0,0
unknown,52,25,18,8,15
