rna_class,0,1,2,3,4
mRNA,0.3545994065281899,0.22551928783382788,0.10385756676557864,0.1572700296735905,0.15875370919881307
tRNA,0.14482758620689656,0.15172413793103448,0.1793103448275862,0.36551724137931035,0.15862068965517243
pre-rRNA,0.05504587155963303,0.3394495412844037,0.27522935779816515,0.07339449541284404,0.25688073394495414
snRNA,0.17391304347826086,0.21739130434782608,0.13043478260869565,0.1956521739130435,0.2826086956521739
snoRNA,0.16216216216216217,0.1891891891891892,0.1891891891891892,0.08108108108108109,0.3783783783783784
ncRNA,0.21238938053097345,0.22123893805309736,0.17699115044247787,0.23893805309734514,0.1504424778761062
ribosomal protein,0.07627118644067797,0.01694915254237288,0.5932203389830508,0.22033898305084745,0.09322033898305085
diverse,0.16279069767441862,0.20930232558139536,0.13953488372093023,0.3488372093023256,0.13953488372093023
unknown,0.24316939890710382,0.2568306010928962,0.16393442622950818,0.22404371584699453,0.11202185792349727
