rna_class,0,1,2,3,4
mRNA,239,152,70,106,107
tRNA,21,22,26,53,23
pre-rRNA,6,37,30,8,28
snRNA,16,20,12,18,26
snoRNA,6,7,7,3,14
ncRNA,24,25,20,27,17
ribosomal protein,9,2,70,26,11
diverse,7,9,6,15,6
unknown,89,94,60,82,41
