rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,674,5,0.05,5,0 (35.5%); 1 (22.6%); 2 (10.4%); 3 (15.7%); 4 (15.9%),0,239,0.3545994065281899
tRNA,145,5,0.05,5,0 (14.5%); 1 (15.2%); 2 (17.9%); 3 (36.6%); 4 (15.9%),3,53,0.36551724137931035
pre-rRNA,109,5,0.05,5,0 (5.5%); 1 (33.9%); 2 (27.5%); 3 (7.3%); 4 (25.7%),1,37,0.3394495412844037
snRNA,92,5,0.05,5,0 (17.4%); 1 (21.7%); 2 (13.0%); 3 (19.6%); 4 (28.3%),4,26,0.2826086956521739
snoRNA,37,5,0.05,5,0 (16.2%); 1 (18.9%); 2 (18.9%); 3 (8.1%); 4 (37.8%),4,14,0.3783783783783784
ncRNA,113,5,0.05,5,0 (21.2%); 1 (22.1%); 2 (17.7%); 3 (23.9%); 4 (15.0%),3,27,0.23893805309734514
ribosomal protein,118,5,0.05,4,0 (7.6%); 2 (59.3%); 3 (22.0%); 4 (9.3%),2,70,0.5932203389830508
diverse,43,5,0.05,5,0 (16.3%); 1 (20.9%); 2 (14.0%); 3 (34.9%); 4 (14.0%),3,15,0.3488372093023256
unknown,366,5,0.05,5,0 (24.3%); 1 (25.7%); 2 (16.4%); 3 (22.4%); 4 (11.2%),1,94,0.2568306010928962
