method,analysis,cluster_column,cluster_id,cluster_n,medoid_protein_id,medoid_protein_length,medoid_total_within_distance,medoid_mean_within_distance,coverage_median,ncpr_median,fcr_median,top_position_1,top_position_1_count,top_position_1_fraction,top_position_2,top_position_2_count,top_position_2_fraction,top_signature_1,top_signature_1_count,top_signature_1_fraction,top_signature_2,top_signature_2_count,top_signature_2_fraction
FLPS,carriers,cluster_pam_k5,0,417,Q9BQ04,359,48.6206904369315,72.1084496127953,0.21884984025559107,0.014084507042253521,0.1590909090909091,distal-terminal,331,0.7937649880095923,domain-adjacent,298,0.7146282973621103,disorder rich spacer region,355,0.8513189448441247,aromatic sticker region,313,0.750599520383693
FLPS,carriers,cluster_pam_k5,1,368,Q6P6C2,394,50.54391635685593,72.74489473016284,0.21429931895048174,-0.0024213075060532645,0.3505525229663161,distal-terminal,309,0.8396739130434783,domain-adjacent,280,0.7608695652173914,acidic region,316,0.8586956521739131,disorder rich spacer region,296,0.8043478260869565
FLPS,carriers,cluster_pam_k5,2,301,Q96DP5,389,31.253909298075552,45.67169605612707,0.1288135593220339,0.2608695652173913,0.4351851851851852,domain-edge,110,0.3654485049833887,domain-adjacent,87,0.28903654485049834,arginine rich rna contact region,186,0.6179401993355482,basic enriched region,186,0.6179401993355482
FLPS,carriers,cluster_pam_k5,3,338,Q9BZE1,423,31.169742262003705,46.94693732547422,0.10445424213536701,0.02000800320128051,0.17192118226600986,domain-edge,104,0.3076923076923077,domain-adjacent,72,0.21301775147928995,aromatic sticker region,202,0.5976331360946746,hydrophobic region,105,0.3106508875739645
FLPS,carriers,cluster_pam_k5,4,273,R4GNH1,168,29.625403022614925,44.83663838718773,0.13729977116704806,-0.14173228346456695,0.46449704142011833,distal-terminal,84,0.3076923076923077,domain-edge,78,0.2857142857142857,acidic region,242,0.8864468864468864,disorder rich spacer region,64,0.23443223443223443
