rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,170,5,0.05,5,0 (29.4%); 1 (12.4%); 2 (15.9%); 3 (17.6%); 4 (24.7%),0,50,0.29411764705882354
tRNA,3,5,0.05,2,1 (66.7%); 2 (33.3%),1,2,0.6666666666666666
pre-rRNA,14,5,0.05,2,0 (7.1%); 1 (92.9%),1,13,0.9285714285714286
snRNA,19,5,0.05,5,0 (5.3%); 1 (10.5%); 2 (10.5%); 3 (31.6%); 4 (42.1%),4,8,0.42105263157894735
snoRNA,10,5,0.05,3,0 (10.0%); 1 (60.0%); 2 (30.0%),1,6,0.6
ncRNA,14,5,0.05,5,0 (28.6%); 1 (14.3%); 2 (14.3%); 3 (35.7%); 4 (7.1%),3,5,0.35714285714285715
ribosomal protein,4,5,0.05,3,1 (25.0%); 2 (25.0%); 3 (50.0%),3,2,0.5
diverse,2,5,0.05,2,0 (50.0%); 3 (50.0%),0,1,0.5
unknown,60,5,0.05,5,0 (28.3%); 1 (30.0%); 2 (13.3%); 3 (20.0%); 4 (8.3%),1,18,0.3
