method,analysis,cluster_column,cluster_id,cluster_n,medoid_protein_id,medoid_protein_length,medoid_total_within_distance,medoid_mean_within_distance,coverage_median,ncpr_median,fcr_median,top_position_1,top_position_1_count,top_position_1_fraction,top_position_2,top_position_2_count,top_position_2_fraction,top_signature_1,top_signature_1_count,top_signature_1_fraction,top_signature_2,top_signature_2_count,top_signature_2_fraction
AlcoR,carriers,cluster_pam_k5,0,235,A6NHQ2,334,20.422703238146394,30.840612458312457,0.2652838427947598,0.015,0.24999999999999994,domain-edge,235,1.0,domain-intrinsic,60,0.2553191489361702,aromatic sticker region,170,0.723404255319149,cation pi rich neighborhood,51,0.2170212765957447
AlcoR,carriers,cluster_pam_k5,1,269,Q9BXT6,1211,22.520460906300634,34.09755975069828,0.11857707509881422,0.0,0.23788546255506604,distal-terminal,75,0.2788104089219331,domain-adjacent,50,0.18587360594795538,aromatic sticker region,196,0.7286245353159851,unmapped physicochemical properties,55,0.20446096654275092
AlcoR,carriers,cluster_pam_k5,2,253,Q9H9J2,332,19.373802434761977,29.75881781595678,0.9464882943143813,0.008379888268156426,0.2634408602150538,domain-edge,222,0.8774703557312253,distal-terminal,67,0.2648221343873518,aromatic sticker region,186,0.7351778656126482,cation pi rich neighborhood,73,0.2885375494071146
AlcoR,carriers,cluster_pam_k5,3,84,J3QT46,619,11.220240477233961,15.174380263735335,0.287286861817465,-8.012854788237174e-18,0.24852107279693486,distal-terminal,73,0.8690476190476191,domain-edge,70,0.8333333333333334,aromatic sticker region,78,0.9285714285714286,disorder rich spacer region,60,0.7142857142857143
AlcoR,carriers,cluster_pam_k5,4,127,M0R2C6,588,12.806400713839409,18.929226325473643,0.09065550906555091,0.0,0.3333333333333333,distal-terminal,91,0.7165354330708661,domain-adjacent,19,0.14960629921259844,mixed charge polyampholyte,60,0.47244094488188976,disorder rich spacer region,28,0.2204724409448819
