rna_class,0,1,2,3,4
mRNA,160,122,33,64,86
tRNA,7,11,6,8,19
pre-rRNA,4,22,22,11,8
snRNA,10,22,5,9,12
snoRNA,4,15,4,4,2
ncRNA,19,17,7,6,16
ribosomal protein,7,1,1,11,1
diverse,5,1,2,2,11
unknown,56,70,23,31,51
