rna_class,n_class,n_clusters_total,representation_threshold,n_clusters_represented,clusters_represented,dominant_cluster,dominant_cluster_n,dominant_cluster_fraction
mRNA,465,5,0.05,5,0 (34.4%); 1 (26.2%); 2 (7.1%); 3 (13.8%); 4 (18.5%),0,160,0.34408602150537637
tRNA,51,5,0.05,5,0 (13.7%); 1 (21.6%); 2 (11.8%); 3 (15.7%); 4 (37.3%),4,19,0.37254901960784315
pre-rRNA,67,5,0.05,5,0 (6.0%); 1 (32.8%); 2 (32.8%); 3 (16.4%); 4 (11.9%),1,22,0.3283582089552239
snRNA,58,5,0.05,5,0 (17.2%); 1 (37.9%); 2 (8.6%); 3 (15.5%); 4 (20.7%),1,22,0.3793103448275862
snoRNA,29,5,0.05,5,0 (13.8%); 1 (51.7%); 2 (13.8%); 3 (13.8%); 4 (6.9%),1,15,0.5172413793103449
ncRNA,65,5,0.05,5,0 (29.2%); 1 (26.2%); 2 (10.8%); 3 (9.2%); 4 (24.6%),0,19,0.2923076923076923
ribosomal protein,21,5,0.05,2,0 (33.3%); 3 (52.4%),3,11,0.5238095238095238
diverse,21,5,0.05,4,0 (23.8%); 2 (9.5%); 3 (9.5%); 4 (52.4%),4,11,0.5238095238095238
unknown,231,5,0.05,5,0 (24.2%); 1 (30.3%); 2 (10.0%); 3 (13.4%); 4 (22.1%),1,70,0.30303030303030304
