method,analysis,cluster_column,cluster_id,cluster_n,medoid_protein_id,medoid_protein_length,medoid_total_within_distance,medoid_mean_within_distance,coverage_median,ncpr_median,fcr_median,top_position_1,top_position_1_count,top_position_1_fraction,top_position_2,top_position_2_count,top_position_2_fraction,top_signature_1,top_signature_1_count,top_signature_1_fraction,top_signature_2,top_signature_2_count,top_signature_2_fraction
CAST,carriers,cluster_pam_k5,0,288,A0ACI8U7J9,978,28.093194386511982,41.38830403020151,0.4083817355907322,0.005500533446061559,0.28498708913873794,distal-terminal,96,0.3333333333333333,domain-edge,94,0.3263888888888889,cation pi rich neighborhood,207,0.71875,gs rich neutral region,46,0.1597222222222222
CAST,carriers,cluster_pam_k5,1,236,O15541,343,21.273753953269853,31.232256574210023,0.2524499527455011,-0.1428571428571428,0.4587889330682572,domain-adjacent,130,0.5508474576271186,distal-terminal,86,0.3644067796610169,acidic region,208,0.8813559322033898,disorder rich spacer region,30,0.1271186440677966
CAST,carriers,cluster_pam_k5,2,173,Q8WWH5,349,13.038798452581197,19.58888641652591,0.20443101711983888,0.01418439716312057,0.1341463414634146,domain-adjacent,115,0.6647398843930635,distal-terminal,51,0.2947976878612717,disorder rich spacer region,122,0.7052023121387283,rg rgg repeat region,36,0.20809248554913296
CAST,carriers,cluster_pam_k5,3,203,Q8IU60,420,19.85050831234971,29.714143188647384,0.32222222222222224,0.0,0.25,distal-terminal,160,0.7881773399014779,domain-edge,49,0.2413793103448276,aromatic sticker region,136,0.6699507389162561,disorder rich spacer region,39,0.1921182266009852
CAST,carriers,cluster_pam_k5,4,155,Q13601,381,13.398904213410784,18.8735944040188,0.2620689655172414,0.1842105263157895,0.460431654676259,domain-edge,55,0.3548387096774194,distal-terminal,36,0.23225806451612904,basic enriched region,88,0.567741935483871,arginine rich rna contact region,34,0.21935483870967742
