rna_class,0,1,2,3,4
mRNA,141,93,102,113,38
tRNA,14,13,12,7,5
pre-rRNA,12,31,3,6,30
snRNA,11,20,11,8,10
snoRNA,8,10,3,1,7
ncRNA,22,13,12,13,9
ribosomal protein,3,3,6,2,32
diverse,7,1,0,4,3
unknown,70,52,24,49,21
